Product Name,Date,Quantity Sold,Unit Price,Current Stock,Reorder Point
Wireless Mouse,2025-01-01,45,29.99,500,100
Wireless Mouse,2025-01-02,52,29.99,448,100
Wireless Mouse,2025-01-03,38,29.99,410,100
Wireless Mouse,2025-01-04,61,29.99,349,100
Wireless Mouse,2025-01-05,55,29.99,294,100
Wireless Mouse,2025-01-06,48,29.99,246,100
Wireless Mouse,2025-01-07,42,29.99,204,100
Wireless Mouse,2025-01-08,67,29.99,137,100
Wireless Mouse,2025-01-09,58,29.99,79,100
Wireless Mouse,2025-01-10,44,29.99,35,100
USB-C Hub,2025-01-01,30,49.99,800,150
USB-C Hub,2025-01-02,28,49.99,772,150
USB-C Hub,2025-01-03,35,49.99,737,150
USB-C Hub,2025-01-04,22,49.99,715,150
USB-C Hub,2025-01-05,31,49.99,684,150
USB-C Hub,2025-01-06,26,49.99,658,150
USB-C Hub,2025-01-07,29,49.99,629,150
USB-C Hub,2025-01-08,33,49.99,596,150
USB-C Hub,2025-01-09,27,49.99,569,150
USB-C Hub,2025-01-10,25,49.99,544,150
Mechanical Keyboard,2025-01-01,20,89.99,300,50
Mechanical Keyboard,2025-01-02,18,89.99,282,50
Mechanical Keyboard,2025-01-03,25,89.99,257,50
Mechanical Keyboard,2025-01-04,22,89.99,235,50
Mechanical Keyboard,2025-01-05,19,89.99,216,50
Mechanical Keyboard,2025-01-06,24,89.99,192,50
Mechanical Keyboard,2025-01-07,21,89.99,171,50
Mechanical Keyboard,2025-01-08,17,89.99,154,50
Mechanical Keyboard,2025-01-09,23,89.99,131,50
Mechanical Keyboard,2025-01-10,20,89.99,111,50
Monitor Stand,2025-01-01,12,39.99,150,30
Monitor Stand,2025-01-02,15,39.99,135,30
Monitor Stand,2025-01-03,10,39.99,125,30
Monitor Stand,2025-01-04,18,39.99,107,30
Monitor Stand,2025-01-05,14,39.99,93,30
Monitor Stand,2025-01-06,16,39.99,77,30
Monitor Stand,2025-01-07,11,39.99,66,30
Monitor Stand,2025-01-08,19,39.99,47,30
Monitor Stand,2025-01-09,13,39.99,34,30
Monitor Stand,2025-01-10,17,39.99,17,30
Laptop Sleeve,2025-01-01,8,24.99,1200,200
Laptop Sleeve,2025-01-02,10,24.99,1190,200
Laptop Sleeve,2025-01-03,7,24.99,1183,200
Laptop Sleeve,2025-01-04,9,24.99,1174,200
Laptop Sleeve,2025-01-05,6,24.99,1168,200
Laptop Sleeve,2025-01-06,11,24.99,1157,200
Laptop Sleeve,2025-01-07,8,24.99,1149,200
Laptop Sleeve,2025-01-08,5,24.99,1144,200
Laptop Sleeve,2025-01-09,9,24.99,1135,200
Laptop Sleeve,2025-01-10,7,24.99,1128,200
Webcam HD,2025-01-01,35,59.99,200,80
Webcam HD,2025-01-02,40,59.99,160,80
Webcam HD,2025-01-03,38,59.99,122,80
Webcam HD,2025-01-04,42,59.99,80,80
Webcam HD,2025-01-05,36,59.99,44,80
Webcam HD,2025-01-06,45,59.99,0,80
Webcam HD,2025-01-07,0,59.99,0,80
Webcam HD,2025-01-08,0,59.99,0,80
Webcam HD,2025-01-09,0,59.99,0,80
Webcam HD,2025-01-10,0,59.99,0,80
